shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
f965804b-15bf-4b4b-963c-179b80ec14fc,11,20,25,0.18181818181818182,0.18285011938477067,,2.8588781086322896,5.0,4.0,0.37777777777777777,0.0
06131845-bb90-4cb5-955f-c8454fa8dc7f,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
f641856a-9f83-4efa-8642-82ba8958b79e,10,21,27,0.23333333333333334,0.18209328924106422,,3.707566859554721,1.0,0.0,0.0,0.0
2e430d3e-2741-4d49-9e80-8963abb4d73f,5,5,5,0.25,0.4666666666666666,,0.9999999999999999,2.0,1.0,0.41666666666666663,0.0
a255cf1e-f73e-434f-a910-58360bd4aa60,8,13,22,0.23214285714285715,0.29476070267459675,,3.854146125140568,3.0,3.0,0.26190476190476186,0.0
7c2798b0-6986-4566-86ce-0a351c33986c,8,9,9,0.16071428571428573,0.1875,,1.2207440846057596,1.0,0.0,0.0,0.0
bbe92ecc-45d8-4ffc-817b-444112682107,0,0,0,,,,,,,,
5bf94991-d33b-4fad-9c75-5acad6f58186,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
eefe3d33-edae-4a15-ba89-93b9220cf6ad,0,0,0,,,,,,,,
ce657a2c-9ba5-402a-adfa-181697e21398,8,11,12,0.19642857142857142,0.13125,,1.5663832772661919,2.0,0.0,0.0,0.0
0c2d4394-e3af-4962-ab84-10019b18cf0a,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
e8090304-80b2-4652-8526-18230ab1e570,0,0,0,,,,,,,,
1e542229-14f8-47d2-8518-8d9df91bb648,10,24,25,0.26666666666666666,0.39666666666666667,,3.3672649457850214,1.0,0.0,0.0,0.0
3ec93bf2-b917-41a5-8f35-30cb38030f41,7,9,9,0.21428571428571427,0.14285714285714285,,1.3247179572447472,2.0,1.0,0.4,0.0
25786fda-271d-4b59-bef6-8f1deac2c6e2,7,9,9,0.21428571428571427,0.14285714285714285,,1.3247179572447472,1.0,1.0,0.3,0.0
565ac75c-7e83-4b34-8a21-a8d666bb01fc,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
20bba541-c700-43c1-a3f8-7d319a0f1117,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
8f96e0d2-d438-4876-8dfd-705f90195bb2,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
a521ce17-5ba0-48bb-9d9d-afd16d56c56d,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
8ea7b514-e99d-4798-851c-f5d63a9edb28,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
7bcae1d1-291c-498f-9d59-f8451f440802,10,20,21,0.2222222222222222,0.16022820157650006,,2.602651231697289,1.0,0.0,0.0,0.0
059486c5-891d-40fd-9463-4f835874429d,7,7,7,0.16666666666666666,0.0,,1.0,1.0,1.0,0.16666666666666666,0.0
fc692a29-81a6-4eeb-aaa3-d5322a575fd7,9,18,18,0.25,0.39629629629629626,2.3194444444444446,2.280084900814446,4.0,3.0,0.39285714285714285,0.6101532473934133
