shot_id,match_id,player,team,period,minute,second,time_window,score_diff,score_state,location,shot_angle,d_0,n_def,d_m,p_score,shooter_rank,n_shooting_options,shooter_rank_pct,shooter_is_best_option,shooter_rank_valid,n_valid_shooting_options,shooter_rank_valid_pct,shooter_is_best_valid_option,best_teammate_p_score,best_valid_teammate_p_score,best_option_p_score,n_better_invalid_position,n_better_teammates,n_better_options,best_pass_interception_prob,best_pass_retention_prob,best_pass_risk,shooter_value,best_teammate_value,best_teammate_pass_success_prob,decision_value,good_decision,shot_outcome,shot_xg,decision_margin
3a370e4d-7507-4970-bd41-0f85c483b328,3895060,Jonas Hofmann,Bayer Leverkusen,1,24,53,23-45+,1,+1,"[112.7, 34.7]",41.772487924138986,9.021086409075124,1,5.390580616683203,0.2476124585416069,3,6,0.5,False,3,6,0.5,False,0.3350303932150617,0.3350303932150617,0.3350303932150617,0,2,0,,,,0.2476124585416069,,,0.2476124585416069,True,Blocked,0.08163955,0.0
bc158e00-f1d4-4c64-be24-9cedf6e19e50,3895060,Exequiel Alejandro Palacios,Bayer Leverkusen,1,28,57,23-45+,1,+1,"[93.5, 54.9]",13.138369573156451,30.40164469235176,3,6.096059303373644,0.0135991534437801,9,10,0.9,False,7,8,0.875,False,0.2511554222029672,0.223884841864288,0.223884841864288,2,6,0,,,,0.0135991534437801,,,0.0135991534437801,True,Off T,0.01716496,0.0
cc2b7576-f295-4b8e-ab4c-cd5f437aa3d4,3895060,Alejandro Grimaldo García,Bayer Leverkusen,1,29,51,23-45+,1,+1,"[101.2, 45.3]",22.36507549537976,19.53279293905508,1,16.289494263866068,0.1122328958851556,1,7,0.1428571428571428,True,1,7,0.1428571428571428,True,0.112232871850382,0.112232871850382,0.1122328958851556,0,0,0,,,,0.1122328958851556,,,0.1122328958851556,True,Off T,0.10086409,0.0
52adeea9-da77-4a26-91ce-a6802ca8d9a4,3895060,Jeremie Frimpong,Bayer Leverkusen,1,30,49,23-45+,1,+1,"[108.3, 53.4]",17.303519384189237,17.789041570584967,2,2.7162102110763984,0.0626377383912117,6,8,0.75,False,6,8,0.75,False,0.163368791671471,0.163368791671471,0.163368791671471,0,5,1,0.0,0.982547490913071,-0.982547490913071,0.0626377383912117,0.0615445543446238,0.982547490913071,0.0010931840465879,False,Saved,0.03741663,0.0010931840465878973
8fd7eb39-3e99-4ca3-a26c-53cf0a9dc310,3895060,Florian Wirtz,Bayer Leverkusen,1,32,52,23-45+,1,+1,"[103.9, 25.2]",15.5698095562555,21.868927728629032,2,11.65052016295562,0.0505977864704845,8,11,0.7272727272727273,False,7,10,0.7,False,0.2805481560710059,0.1227429510670739,0.1227429510670739,1,6,1,0.0,0.982547490913071,-0.982547490913071,0.0505977864704845,0.049714734431816,0.982547490913071,0.0008830520386684,False,Saved,0.03490053,0.0008830520386684942
036aab1b-c275-4d03-b0b7-07b80094acef,3895060,Victor Okoh Boniface,Bayer Leverkusen,1,34,53,23-45+,1,+1,"[102.7, 35.3]",24.380311372380486,17.927074496414633,2,1.608809803846028,0.0559779751939619,6,8,0.75,False,5,7,0.7142857142857143,False,0.2305666031949403,0.134058036874794,0.134058036874794,1,4,1,0.0,0.982547490913071,-0.982547490913071,0.0559779751939619,0.0550010318784935,0.982547490913071,0.0009769433154683,False,Blocked,0.065433435,0.0009769433154684024
7637a832-f82c-4708-b296-1701481e05ac,3895060,Victor Okoh Boniface,Bayer Leverkusen,1,35,13,23-45+,1,+1,"[95.4, 37.2]",18.24471300684298,24.75883680627989,2,1.255176092064474,0.0302158901432312,6,9,0.6666666666666666,False,6,9,0.6666666666666666,False,0.1000255488859961,0.1000255488859961,0.1000255488859961,0,5,0,,,,0.0302158901432312,,,0.0302158901432312,True,Blocked,0.03576193,0.0
79a23925-3852-4f56-964f-f92661681722,3895060,Victor Okoh Boniface,Bayer Leverkusen,1,38,54,23-45+,1,+1,"[103.2, 39.9]",26.78412978816064,16.800297616411438,1,12.570866384055185,0.138644328337444,2,5,0.4,False,2,5,0.4,False,0.162285035097016,0.162285035097016,0.162285035097016,0,1,0,,,,0.138644328337444,,,0.138644328337444,True,Off T,0.052070636,0.0
1139940d-789e-461e-983e-036dddae7e81,3895060,Granit Xhaka,Bayer Leverkusen,1,40,27,23-45+,1,+1,"[101.1, 49.8]",19.0752625692366,21.28966885604377,3,7.486570869487901,0.0285356096807636,6,9,0.6666666666666666,False,4,7,0.5714285714285714,False,0.2221702427737446,0.1404161448350317,0.1404161448350317,2,3,1,0.3503693451538529,0.9946888995457452,-0.6443195543918924,0.0285356096807636,0.0284576026024529,0.9946888995457452,7.80070783107413e-05,False,Blocked,0.044252444,7.800707831070314e-05
55ead603-af88-4f99-89d1-11b1c3ae177b,3895060,Victor Okoh Boniface,Bayer Leverkusen,1,42,38,23-45+,1,+1,"[109.4, 43.0]",38.82918096575567,11.016351483136324,0,inf,0.4142406811469922,2,6,0.3333333333333333,False,2,5,0.4,False,0.4142407298023764,0.4142407298023764,0.4142407298023764,0,1,1,0.0,0.982547490913071,-0.982547490913071,0.4142406811469922,0.4070111897013243,0.982547490913071,0.0072294914456678,False,Wayward,0.20104417,0.007229491445667868
62817480-1c22-419f-a348-6a7aa4757f95,3895060,Victor Okoh Boniface,Bayer Leverkusen,1,45,7,23-45+,1,+1,"[103.8, 36.1]",26.35005040983544,16.662832892398583,1,12.540418861697692,0.1401666099876398,4,8,0.5,False,4,8,0.5,False,0.2024256703703469,0.2024256703703469,0.2024256703703469,0,3,1,0.0,0.982547490913071,-0.982547490913071,0.1401666099876398,0.1377203787125679,0.982547490913071,0.0024462312750718,False,Off T,0.0903727,0.002446231275071903
28fbde42-b785-47cc-847a-bd45e3d333fd,3895060,Jonas Hofmann,Bayer Leverkusen,1,46,46,23-45+,1,+1,"[109.2, 29.0]",21.2968976289728,15.415576538034506,1,11.834328182857911,0.1545796010270143,3,5,0.6,False,3,5,0.6,False,0.4232412594429808,0.4232412594429808,0.4232412594429808,0,2,0,,,,0.1545796010270143,,,0.1545796010270143,True,Saved,0.12446163,0.0
e2a50255-e1bf-48e0-98e4-d86d96fe15a1,3895060,Victor Okoh Boniface,Bayer Leverkusen,1,46,47,23-45+,1,+1,"[115.6, 38.7]",81.83571842171393,4.58802789878179,0,inf,0.6927803869927971,1,5,0.2,True,1,5,0.2,True,0.6927803178716582,0.6927803178716582,0.6927803869927971,0,0,0,,,,0.6927803869927971,,,0.6927803869927971,True,Saved,0.30162236,0.0
22fddac8-50b0-441c-b551-e3456b0e15c1,3895060,Jonathan Tah,Bayer Leverkusen,1,50,21,23-45+,1,+1,"[110.9, 43.9]",41.59188798743317,9.900505037623075,2,4.538840334065765,0.1249091456509808,6,6,1.0,False,5,5,1.0,False,0.6987577438024873,0.6987577438024873,0.6987577438024873,1,4,1,0.0,0.982547490913071,-0.982547490913071,0.1249091456509808,0.1227291723348656,0.982547490913071,0.0021799733161152,False,Goal,0.16639715,0.0021799733161151913
7cd2a8e8-cdf3-4b5a-9c57-453f63dcccb8,3895060,Jonas Hofmann,Bayer Leverkusen,2,51,29,45-68,2,+2+,"[110.3, 49.0]",26.00192669951638,13.232157798333576,1,11.801567817876128,0.1840649810901373,2,7,0.2857142857142857,False,2,7,0.2857142857142857,False,0.1840650129276967,0.1840650129276967,0.1840650129276967,0,1,1,0.0,0.982547490913071,-0.982547490913071,0.1840649810901373,0.1808526166169904,0.982547490913071,0.0032123644731469,False,Blocked,0.21587738,0.003212364473146906
ffc61678-fba6-4df8-a412-83e555c9fca5,3895060,Victor Okoh Boniface,Bayer Leverkusen,2,52,34,45-68,2,+2+,"[107.4, 44.9]",31.149825340136715,13.51924554107957,1,3.548011225571784,0.1662472970076983,2,3,0.6666666666666666,False,1,2,0.5,True,0.166247303888147,0.1149384151715233,0.1662472970076983,1,0,0,,,,0.1662472970076983,,,0.1662472970076983,True,Goal,0.23531614,0.0
ee957b56-86df-4fa1-8bdd-9bc7feeebffa,3895060,Victor Okoh Boniface,Bayer Leverkusen,2,55,5,45-68,3,+2+,"[102.7, 43.1]",25.291493977719465,17.575551200460254,1,14.64085577234351,0.1308943325033945,1,7,0.1428571428571428,True,1,7,0.1428571428571428,True,0.1308943045862602,0.1308943045862602,0.1308943325033945,0,0,0,,,,0.1308943325033945,,,0.1308943325033945,True,Off T,0.067177616,0.0
05f6964d-1776-4c5c-996c-3447802324a3,3895060,Jonas Hofmann,Bayer Leverkusen,2,55,37,45-68,3,+2+,"[100.9, 50.5]",18.410232674911587,21.795871168641085,2,4.615950614961355,0.0482999026793035,6,7,0.8571428571428571,False,6,7,0.8571428571428571,False,0.0845624994210329,0.0845624994210329,0.0845624994210329,0,5,1,0.0,0.982547490913071,-0.982547490913071,0.0482999026793035,0.0474569521184481,0.982547490913071,0.0008429505608553,False,Saved,0.056350455,0.0008429505608553989
