,good_decision,decision_value,shot_xg
n_passes_prev,-0.007414301839704479,-0.024445498893214387,-0.05099265767042806
pass_density,-0.037030088852143685,-0.02187805828235749,-0.02097191332763508
pass_clustering,0.03292835567433705,0.024142675533052223,0.01335755545251568
pass_avg_path_length,-0.20799592693376837,-0.043314590331357275,0.1170344286179977
pass_largest_eigenvalue,0.0033516990489741963,-0.05665926790160817,-0.04104995340457323
shooter_in_degree,-0.0026050997578818983,-0.052653868752013756,-0.07773564209393123
shooter_out_degree,-0.009315693206065956,-0.09239867442282146,-0.11666115427642246
shooter_betweenness,-0.017272159722154345,-0.07293098496361311,-0.05131310289957635
shooter_eigenvector,0.01286025454931182,-0.0693355319631499,-0.09312738964794118
