shot_outcome,good_decision
Saved to Post,0.6666666666666666
Saved Off Target,0.6666666666666666
Goal,0.6506024096385542
Wayward,0.6
Off T,0.569620253164557
Post,0.5555555555555556
Saved,0.5214285714285715
Blocked,0.4691358024691358
