time_window,-2+,-1,0,+1,+2+
0-23,,0.005534486015856749,0.0037087750898992847,0.04638650353302667,
23-45+,,0.0028389422347368663,-0.0019352079557168828,0.0086994995604562,-0.004009339793558269
45-68,0.0009042207796639001,-0.0032489064642867425,0.0011278053891225,0.007789204649956895,0.004785036479696919
68-90+,,0.0015930848191422241,0.00390045124639017,0.0008243693385320485,0.008757379012205052
